Datum,Mittlere_Temperatur,Temp_max,Temp_min,Regen_mm,Strahlung,Mittlere_Windgeschwindigkeit_km/h,Windboen_km/h,Richtung,Mittlerer_Luftdruck_hPa,Mittlere_Luftfeuchte,Taupunkt,Sonnenscheindauer_Min
2020-10-09,16.06,18.31,14.04,1.06,70.13,10.56,25.38,231,1005.24,70.19,12.71,420
2020-10-08,14.36,16.69,11.68,0.27,57.92,11.22,36.24,222,1006.25,73.08,11.37,320
2020-10-07,12.77,15.58,10.65,2.22,62.24,11.78,24.78,231,999.76,77.06,10.24,310
2020-10-06,13.15,17.19,11.34,4.33,86.99,14.24,32.52,225,992.20,75.14,10.12,400
2020-10-05,12.82,15.48,10.97,0.68,93.65,11.63,35.28,198,990.43,67.96,9.03,460
2020-10-04,14.23,17.28,11.86,0.30,106.00,13.19,46.44,193,983.63,55.56,8.26,430
2020-10-03,13.25,16.61,9.09,2.15,99.14,10.27,29.94,190,977.71,74.18,11.56,320
2020-10-02,15.88,20.47,11.77,0.01,78.34,8.36,22.26,78,978.83,68.15,10.53,390
2020-10-01,13.81,19.17,10.22,0.62,85.40,5.12,17.82,157,991.67,80.86,12.95,350
2020-09-30,14.82,19.70,10.84,0.00,165.95,5.46,17.34,125,1001.21,72.29,10.65,550
2020-09-29,12.90,14.40,11.21,0.70,33.27,7.32,20.70,211,1002.88,81.48,11.05,110
2020-09-28,11.19,17.10,5.95,0.00,158.17,4.81,14.52,179,996.73,68.79,7.93,530
2020-09-27,10.58,13.49,8.23,13.88,80.63,8.76,23.16,191,988.78,75.34,7.60,490
2020-09-26,9.41,10.61,8.02,6.35,15.99,14.64,32.34,229,986.50,81.32,7.86,0
2020-09-25,12.13,14.67,10.12,1.00,56.66,10.88,25.98,217,986.81,75.70,12.57,390
2020-09-24,17.49,20.38,13.89,10.76,102.89,6.92,23.76,190,991.49,66.86,14.00,460
2020-09-23,19.96,23.58,17.56,0.00,109.72,8.50,20.16,213,993.64,61.66,13.97,560
2020-09-22,20.57,27.26,14.57,0.00,180.17,4.76,19.44,194,996.68,55.72,12.93,580
2020-09-21,18.55,25.85,11.61,2.94,188.03,3.89,11.82,142,1000.25,54.20,10.75,590
2020-09-20,18.16,24.87,11.79,0.00,192.43,7.36,19.68,51,1000.32,54.24,9.12,600
2020-09-19,18.60,24.68,12.68,0.00,192.23,6.33,17.16,93,1003.19,48.54,9.31,610
2020-09-18,19.00,25.80,12.88,0.00,194.54,10.97,24.30,61,1007.12,50.91,9.89,600
2020-09-17,19.95,23.51,16.85,0.00,110.97,10.16,23.46,75,1008.01,60.42,14.75,570
2020-09-16,23.65,31.33,17.81,0.00,170.71,3.95,12.90,170,1004.12,50.41,13.77,550
2020-09-15,23.61,31.42,17.00,0.00,202.33,4.04,14.46,161,1005.80,53.74,14.24,610
2020-09-14,23.59,30.62,17.21,0.00,201.21,5.25,12.60,101,1009.34,51.70,13.68,620
2020-09-13,21.75,29.17,14.81,0.00,208.36,4.20,13.44,104,1010.35,53.75,12.41,630
2020-09-12,21.27,27.64,15.14,0.00,197.24,5.21,21.30,173,1004.70,58.23,13.85,610
2020-09-11,21.03,26.23,17.04,0.00,192.18,5.79,34.27,113,1002.42,57.64,14.09,560
2020-09-10,19.36,22.78,17.82,0.00,124.94,6.61,21.54,103,1005.72,65.60,14.65,510
2020-09-09,20.16,27.26,12.95,0.00,226.98,5.37,19.68,189,1007.97,50.66,11.74,640
2020-09-08,18.47,25.50,10.93,0.00,228.39,3.76,15.78,151,1011.57,49.71,9.08,630
2020-09-07,16.34,22.44,9.71,0.00,221.93,5.12,21.36,95,1008.55,53.88,7.96,650
2020-09-06,16.87,19.45,14.21,0.00,112.35,5.74,16.20,174,1005.21,57.78,12.58,510
2020-09-05,19.88,24.68,16.56,0.01,135.50,6.76,22.92,218,1003.28,62.74,14.36,410
2020-09-04,21.98,27.90,16.57,0.01,174.31,7.22,20.28,207,1007.75,46.84,11.80,540
2020-09-03,18.20,23.36,12.03,0.00,179.90,6.41,21.00,183,1006.81,58.06,10.74,600
2020-09-02,16.82,21.85,12.53,0.00,213.57,5.86,14.76,61,1003.48,62.70,10.88,620
2020-09-01,16.78,20.99,14.24,0.12,144.92,5.15,20.04,151,1002.62,74.50,13.47,530
2020-08-31,16.01,20.67,13.87,9.35,151.64,6.79,16.56,201,1002.41,78.86,13.72,450
2020-08-30,15.45,17.56,14.29,3.62,39.76,6.63,22.92,211,994.99,82.36,14.83,120
2020-08-29,18.57,21.80,15.45,0.00,172.72,6.89,17.10,230,991.82,57.60,11.87,610
2020-08-28,18.46,20.50,16.82,3.45,84.82,8.10,21.06,200,991.68,67.59,15.40,450
2020-08-27,19.90,24.78,15.10,0.00,203.76,5.18,16.80,188,1001.58,47.85,9.28,680
2020-08-26,22.61,25.49,19.20,0.00,245.47,17.42,40.26,251,998.65,39.70,12.76,690
2020-08-25,19.39,24.85,13.75,0.00,122.94,4.37,17.58,155,998.74,51.17,10.00,660
2020-08-24,19.56,24.32,15.02,0.00,240.64,8.55,27.30,240,1002.95,47.31,9.57,670
2020-08-23,21.12,24.21,18.06,0.00,222.71,11.40,28.92,239,1003.74,49.05,12.15,680
2020-08-22,22.86,27.23,19.02,1.54,201.88,10.97,29.16,238,1003.47,57.90,17.74,510
2020-08-21,27.86,33.35,21.29,0.00,232.52,7.22,26.58,205,996.74,43.34,15.66,640
2020-08-20,26.44,33.36,19.25,1.94,240.18,5.07,17.94,119,995.21,52.74,17.65,650
2020-08-19,22.31,28.08,16.20,0.00,222.92,4.26,14.46,159,996.57,59.04,14.79,680
2020-08-18,21.26,26.83,17.28,0.64,238.62,8.00,24.72,200,997.90,63.11,16.21,620
2020-08-17,22.05,26.38,18.51,7.95,173.81,8.10,29.46,219,996.96,66.27,17.36,680
2020-08-16,25.93,31.55,20.23,0.00,230.42,6.00,16.86,107,996.05,51.32,16.70,670
2020-08-15,24.20,29.59,18.75,0.04,225.19,6.40,16.80,182,999.76,60.76,17.27,650
2020-08-14,22.97,26.31,21.31,0.14,165.81,7.89,22.74,204,1000.17,66.57,18.60,590
2020-08-13,23.35,25.87,21.22,0.66,61.47,4.51,13.80,144,999.58,72.01,20.14,260
2020-08-12,26.84,35.63,21.58,19.45,195.84,6.56,48.42,100,999.72,54.99,20.63,570
2020-08-11,28.87,35.41,22.89,0.01,246.63,5.59,21.96,116,999.77,37.21,15.89,650
2020-08-10,28.42,34.76,20.64,0.01,245.59,6.40,21.66,90,999.01,37.74,14.02,720
2020-08-09,29.00,35.72,21.19,0.00,274.86,5.61,21.60,102,1001.74,33.93,12.79,720
2020-08-08,28.81,34.43,21.07,0.00,281.24,5.76,19.38,75,1004.21,36.90,14.58,730
2020-08-07,26.78,33.62,19.12,0.00,282.50,7.20,20.70,68,1004.50,44.42,14.04,730
2020-08-06,23.68,30.60,15.89,0.00,292.07,7.76,22.74,79,1004.41,44.59,12.11,720
2020-08-05,21.35,27.52,13.87,0.00,301.10,6.51,20.22,93,1003.38,45.82,11.19,750
2020-08-04,21.63,23.44,17.82,0.02,265.54,5.71,15.90,227,1002.37,43.28,11.09,500
2020-08-03,19.20,22.26,15.03,1.65,146.30,7.23,27.42,224,997.84,65.80,16.50,520
2020-08-02,23.21,26.45,21.29,0.06,117.77,9.16,21.18,233,999.48,62.70,17.94,680
2020-08-01,26.75,31.81,19.88,0.00,210.28,5.69,15.96,193,999.44,40.53,14.96,740
2020-07-31,32.98,36.14,25.53,0.00,336.81,5.43,18.48,96,999.17,18.84,9.91,350
2020-07-30,17.69,20.58,15.60,0.00,0.08,2.31,6.18,125,1004.69,50.98,7.85,0
2020-07-29,22.34,27.51,16.21,0.02,325.20,6.24,19.62,218,1004.36,37.40,9.51,780
2020-07-28,24.50,28.03,21.46,0.00,173.27,10.80,29.70,246,998.43,43.30,13.10,620
2020-07-27,24.33,31.65,16.04,0.00,310.93,6.01,21.96,179,1000.04,47.19,13.75,760
2020-07-26,22.28,26.14,18.51,0.76,235.41,10.35,34.26,218,998.72,56.29,15.65,710
2020-07-25,23.41,28.82,17.80,0.00,287.97,7.90,22.08,222,998.87,46.61,12.67,720
2020-07-24,22.07,27.81,18.22,0.00,180.86,6.90,19.56,206,998.05,45.42,11.40,560
2020-07-23,21.71,27.44,15.62,0.00,313.09,6.04,16.74,147,1001.33,40.56,8.97,780
2020-07-22,21.48,28.30,13.74,0.00,302.23,7.61,18.12,92,1005.18,38.23,7.41,730
2020-07-21,21.71,26.82,16.52,0.00,318.75,8.33,20.82,180,1005.90,43.21,12.18,770
2020-07-20,23.00,29.55,16.64,0.00,270.16,6.55,23.46,219,1001.63,48.49,12.34,740
2020-07-19,22.88,28.64,15.52,0.00,286.25,4.67,16.74,168,1001.72,43.63,11.22,780
2020-07-18,22.12,27.37,16.49,0.00,296.31,5.16,21.18,95,1004.40,44.98,12.09,810
2020-07-17,19.10,24.55,15.37,0.32,214.17,5.64,17.52,224,1005.35,66.79,14.50,620
2020-07-16,16.05,17.28,15.29,8.43,51.13,7.81,17.04,228,1003.78,88.41,14.74,250
2020-07-15,17.63,21.29,15.13,8.40,100.18,7.34,17.04,221,1000.15,75.73,15.28,460
2020-07-14,22.27,28.03,15.60,0.00,280.63,6.18,21.30,188,999.87,36.52,8.99,730
2020-07-13,21.08,27.15,13.49,0.01,324.90,7.96,22.50,53,1006.21,35.35,7.06,790
2020-07-12,19.66,25.63,11.98,0.00,336.49,7.76,19.14,53,1009.80,39.45,7.15,790
2020-07-11,19.43,23.82,15.20,0.01,308.66,7.88,21.00,220,1007.31,46.21,12.59,770
2020-07-10,22.73,25.80,18.43,0.29,263.49,11.53,36.36,239,998.75,48.76,12.87,640
2020-07-09,23.93,30.69,16.62,0.00,302.34,7.96,26.64,201,1000.73,46.39,12.41,780
2020-07-08,19.67,25.94,14.25,0.00,214.49,9.38,31.26,194,1002.49,48.03,11.30,590
2020-07-07,18.45,23.47,11.75,0.00,308.79,5.74,18.12,164,1005.66,45.75,8.16,780
2020-07-06,19.31,24.30,16.18,3.66,249.12,12.62,29.70,256,1002.78,49.90,16.95,740
2020-07-05,24.03,27.70,21.19,0.00,212.75,12.56,28.32,239,1001.77,49.24,14.88,750
2020-07-04,21.45,27.13,15.01,0.00,327.13,9.76,28.86,229,1004.43,45.80,10.32,740
2020-07-03,20.54,24.70,15.63,0.00,330.91,8.61,23.46,245,1003.84,48.09,11.91,820
2020-07-02,21.63,24.59,19.02,0.39,204.35,10.87,30.36,239,998.39,58.26,15.69,660
2020-07-01,23.11,29.15,16.20,0.00,345.33,8.69,26.58,221,995.70,56.80,15.95,830
2020-06-30,19.47,23.52,15.62,0.00,208.59,8.80,22.80,220,999.06,53.90,12.32,800
2020-06-29,18.46,23.17,15.16,7.32,206.25,8.72,29.04,223,1000.29,72.51,16.02,640
2020-06-28,20.67,25.55,15.11,3.81,186.92,9.86,27.96,221,1001.09,66.79,17.57,570
2020-06-27,23.56,28.73,17.94,0.14,269.81,8.26,26.64,198,998.55,61.59,17.11,770
2020-06-26,22.77,28.98,18.32,0.18,260.64,7.29,38.76,151,998.80,56.47,17.21,610
2020-06-25,22.71,26.91,17.68,0.00,336.77,9.78,24.90,61,1003.15,46.12,12.55,810
2020-06-24,21.03,27.59,16.28,0.00,92.33,7.55,21.48,48,1006.23,47.53,10.40,250
2020-06-23,21.95,27.37,14.76,0.00,344.09,7.89,22.86,52,1008.96,48.55,12.60,810
2020-06-22,21.32,25.92,17.90,0.06,325.18,8.39,22.62,222,1009.05,52.59,14.43,740
2020-06-21,20.48,26.11,14.04,0.00,328.74,6.92,19.98,226,1006.21,55.77,12.38,780
2020-06-20,19.17,24.61,14.24,0.00,271.83,8.05,21.48,246,1006.02,59.89,12.65,750
2020-06-19,18.17,22.58,14.84,0.00,226.03,9.71,22.68,228,1002.50,63.43,12.26,720
